movie_title,genres,director_name,actor_1,actor_2,actor_3
Friends Together,Documentary,Prakash Jha,,,
Friendship,"Action, Crime, Drama",Raj Khosla,Amitabh Bachchan,Shatrughan Sinha,Zeenat Aman
Friendship,"Comedy, Drama, Romance",Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra Jonas
From Sydney with Love,"Comedy, Romance",Prateek Chakravorty,Bidita Bag,Sabyasachi Chakrabarty,Ronjini Chakraborty
Frozen,Drama,Shivajee Chandrabhushan,Danny Denzongpa,Gauri,Aungchuk
Fruit & Nut,"Comedy, Crime, Drama",Kunal Vijaykar,Cyrus Broacha,Boman Irani,Mahesh Manjrekar
FryDay,"Comedy, Drama",Abhishek Dogra,Govinda,Digangana Suryavanshi,Varun Sharma
Fuddu,"Comedy, Drama",Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar
Fugly,"Drama, Thriller",Kabir Sadanand,Jimmy Sheirgill,Mohit Marwah,Kiara Advani
Fuji-Lama,,Habib,Rajan Haksar,Shanta Kanwar,Manorama
Fukrey,"Comedy, Drama, Romance",Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal
Fukrey Boyzzz: Space Mein Fukrapanti,"Animation, Comedy, Family",Avinash Walzade,Manish Bhavan,Amit Deondi,Ketan Kava
Fukrey Returns,Comedy,Mrighdeep Lamba,Pulkit Samrat,Varun Sharma,Ali Fazal
Fulena Nights,Drama,Amit Jha,Pitobash,Sharat Sonu,Vijay Raj
Full Moon,"Drama, Musical, Romance",M. Sadiq,Waheeda Rehman,Guru Dutt,Rehman
Fun In Goa,,Ashish Kumar Dubey,Gajendra,,
Fun: Can Be Dangerous Sometimes,Thriller,Sanjay Zaveri,Siddharth Koirala,Aryan Vaid,Payal Rohatgi
Funtoosh,"Comedy, Drama",Chetan Anand,Dev Anand,Sheila Ramani,K.N. Singh
Furrr Chidiya Udd,Comedy,Manoj Sharma,Rajpal Yadav,Shakti Kapoor,Vrajesh Hirjee
Future to Bright Hai Ji,Drama,Sanjay Amar,Aamir Bashir,Sonal Sehgal,Asrani
Fyaar,Drama,Harjit Rick,Mukesh Chandella,Vicky Hans,Surinder Singh Babb Kamboj
G Kutta Se,Drama,Rahul Dahiya,Rajveer Ankur Singh,Neha Chauhan,Vibha Tyagi
G: A Dark Tale of Desires,"Crime, Drama, Mystery",Rahul Dahiya,Ankur Singh,,
Gaafil Musafir,,Jagatrai Pesumal Advani,Sardar Akhtar,,
Gaai Aur Gori,"Drama, Family",M.A. Thirumugham,Shatrughan Sinha,Jaya Bachchan,Bindu
Gaal Gulabi Nain Sharabi,Romance,Devi Sharma,Kiran Kumar,Radha Saluja,Paintal
Gaali,"Drama, Mystery",R.S. Choudhury,Nirmala Devi,Karan Dewan,Manju
Gaalib,Drama,Manoj Giri,Nikkhil Pitaley,Deepika Chikhalia,Anil Rastogi
Gaban,"Crime, Drama, Romance",Krishan Chopra,Hrishikesh Mukherjee,Sunil Dutt,Sadhana
Gabbar is Back,"Action, Comedy, Crime",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor
Gabbar Singh,Action,S.A. Ashokan,Jaishankar,Shiva Kumar,
Gabbar Singh,Action,Kanti Shah,Amit Pachori,Shiva Rindani,Sapna Sappu
Gadar: Ek Prem Katha,"Action, Drama, Romance",Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri
Gaddaar,Crime,Harmesh Malhotra,Vinod Khanna,Yogeeta Bali,Pran
Gaddaar,"Action, Drama, Romance",Raam Shetty,Sunil Shetty,Harish,Sonali Bendre
Gadera,"Drama, History, Thriller",Yogesh Vats,Edward Christle,Andrew Johnson,Catarina Morais
Gadh: When the Limit is Reached,Action,Param Sivan,Satish Rai,,
Gafla,Drama,Sameer Hanchate,Somesh Agarwal,Anshul Chobey,Nishikant Dixit
Gahan,Thriller,Surendran Kaliyaperumal,Ananth,Attu,Aniket Dhamale
Gair,"Action, Drama",Ashok Gaekwad,Ajay Devgn,Raveena Tandon,Reena Roy
Gair Kaanooni,"Action, Comedy, Drama",Prayag Raj,Sridevi,Govinda,Kimi Katkar
Gair Mard,Thriller,,,,
Gaj Gauri,Drama,Anand Kumar,Sulochana Latkar,Shahu Modak,Nana Palsikar
Gaja Gamini,"Drama, Fantasy",M.F. Hussain,Madhuri Dixit,Shabana Azmi,Naseeruddin Shah
Gajendra,Action,Suresh Krishna,Sarath Babu,Rajat Bedi,Flora
Gajre,"Drama, Romance",R.D. Mathur,Motilal,Suraiya,Geeta Nizami
Galat Sambandh,Thriller,P.R.S. Babu,Bhavana,Mahesh,Usha
Gali Gali Chor Hai,"Comedy, Drama, Family",Rumi Jaffery,Akshaye Khanna,Mugdha Godse,Satish Kaushik
Galiyon Ka Badshah,"Drama, Action, Crime",Sher Jung Singh,K. Yogi,Raaj Kumar,Hema Malini
Galiyon Ka Badshah,"Action, Thriller",Kanti Shah,Ishrat Ali,Hemant Birje,Amisha Desai
Galiyon Ka Gunda,Action,Muktha V. Srinivasan,Y.G. Mahendran,Aachi Manorama,Radha
Galiyon Ki Rani,Thriller,,,,
"Gallit Gondhal, Dillit Mujra",Comedy,Nagesh Bhonsle,Makarand Anaspure,Suzanne Bernert,Nagesh Bhonsle
Galti,Thriller,Bande Prasad,Shrivastava Anushka,Kant Arun,
Galti Se Mistakke Ho Gayi,"Comedy, Family",Sunil Prem Vyas,Kashish Dutt,Manish Garg,Ankur Khanna
Gaman,Drama,Muzaffar Ali,Farooq Shaikh,Smita Patil,Gita Siddharth
Gamanam,Drama,Sujana Rao,Shriya Saran,Nithya Menen,Priyanka Jawalkar
Gambeeram,"Action, Comedy, Crime",Suresh,Tanikella Bharani,Brahmanandam,Jasper
Gambler,Action,Dwarka Khosla,Prem Nath,Shakila,Pran
Gambler,"Crime, Romance, Thriller",Amarjeet,Dev Anand,Zaheeda,Kishore Sahu
Gambler,"Action, Comedy, Crime",Dayal Nihalani,Govinda,Shilpa Shetty Kundra,Aditya Pancholi
Game,"Action, Crime, Drama",Anil Mattoo,Naseeruddin Shah,Aditya Pancholi,Rahul Roy
Game,"Action, Crime, Drama",Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Anupam Kher
Game,"Action, Crime, Drama",Shivram Yadav,Sherlyn Chopra,Sameer Dharmadhikari,Prashant Narayanan
Game of Ayodhya,"Documentary, Drama",Sunil Singh,Arun Bakshi,Abhay Bhargava,Makrand Deshpande
Game Over,Thriller,Paresh Vinodray Savani,Rima Mishra,Rajesh Sharma,Yashpal Sharma
Game Over,Animation,Rajiv Chilaka,,,
Game Paisa Ladki,Drama,Sachin Agarwal,Ishteyak Arif,Deepans Garge,Ashraf Ul Haq
Ganapath,Action,Vikas Bahl,Kriti Sanon,Tiger Shroff,
Gandabherunda - A Surfing Entertainer,Sport,Inam,Inam,Sanjana Prakash,
Gandharvya Kanya,"Action, Adventure, Fantasy",P.S. Prakash,B. Vittalacharya,Anita,Anuradha
Gandhi,"Biography, Drama, History",Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi
Gandhi Ki Zameen Par,"Crime, Drama, Thriller",Sunil Prem Vyas,Rajesh Mishra,Pooja Iyengar,Sangeeta Pant
Gandhi to Hitler,"Drama, History, War",Rakesh Ranjan Kumar,Avijit Dutt,Raghuvir Yadav,Neha Dhupia
Gandhi vs Aazaad,History,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Rubika Liyaquat,
"Gandhi, My Father","Biography, Drama, History",Feroz Abbas Khan,Akshaye Khanna,Darshan Jariwala,Shefali Shah
Gandhigiri,Drama,Sanoj Mishra,Sanoj R. Mishra,Sanjay Mishra,Rishi Bhutani
Gandhiji My Mentor,"Drama, History",Nilay Dave,Anil Pandey,Deepak Antani,Nilay Dave
Gandhinagar 2nd Street,"Comedy, Family, Romance",Sathyan Anthikad,Mohanlal,Karthika,Sreenivasan
Gandhi's Children,"Documentary, Drama",David MacDougall,,,
Ganesh Chaturti,Drama,Jamuna,N.T. Rama Rao,,
Gang,"Action, Crime, Drama",Mazhar Khan,Jackie Shroff,Nana Patekar,Kumar Gaurav
Gang of Ghosts,"Comedy, Horror",Satish Kaushik,Sharman Joshi,Mahie Gill,Asrani
Gang of Littles,Drama,Vijay Kumar Mishra,Abhishek,Shehzad Khan,Viju Khote
Ganga,"Action, Drama, Music",Abhishek Chhadha,Amitabh Bachchan,Hema Malini,Nagma
Ganga,Drama,Jagdev Bhambri,Abhi Bhattacharya,Som Dutt,Sona Mastan Mirza
Ganga Akhir Ganga Hain,Romance,Raja Bagla,Raja Bagla,Urmila Bhatt,C.S. Dubey
Ganga Aur Geeta,Action,M. Bahl,Anil Dhawan,Rakesh Roshan,Asha Singh
Ganga Aur Ranga,Action,Joginder Shelly,Sahila Chaddha,Suresh Chatwal,Anita Chopra
Ganga Aur Suraj,Drama,A. Salaam,Sunil Dutt,Shashi Kapoor,Reena Roy
Ganga Bani Shola,"Action, Thriller",Kanti Shah,Firoz Irani,Jamuna,Goga Kapoor
Ganga Bhavani,Adventure,T. Prakash Rao,Gummadi,,
Ganga Dacait,Action,Kishan Shah,Sapna Sappu,Amit Pachori,Ishrat Ali
Ganga Devi,Drama,Abhishek Chhadha,Amitabh Bachchan,Jaya Bachchan,Vinay Bihari
Ganga Dham,Action,B.S. Thapa,Nameeta Chandra,Arun Govil,Shakti Kapoor
Ganga Jaisan Mai Hamar,Drama,Mohanji Prasad,Chandni,Diveyaa Dwivedi,Ravi Kishan
Ganga Jamuna Ki Lalkaar,Action,Kanti Shah,Shagufta Ali,Charan Dev,Goga Kapoor
Ganga Ka Vachan,Action,Gulshan Ashte,Avtar Gill,Gulshan Grover,Irshad Hashmi
Ganga Ke God Mein,Drama,,,,
Ganga Ke Paar,Drama,Shashi Bakshi,Master Bhagwan,Bharat Bhushan,Satish Kaul
Ganga Ki Kasam,"Action, Drama",Ranga B.S.,Master Bhagwan,Dev Dutt,Som Dutt
Ganga Ki Kasam,Drama,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Deepti Bhatnagar
Ganga Ki Lahren,Drama,Devi Sharma,Azra,Brahm Bhardwaj,Dharmendra
Ganga Ki Saugand,"Action, Drama",Sultan Ahmed,Amitabh Bachchan,Rekha,Amjad Khan
Ganga Kinare,Drama,Asha Lata,Ravindra Mahajani,Namita,Prema Narayan
Ganga Maang Rahi Balidan,Action,Radhakant,Abhi Bhattacharya,Heena Kausar,Dev Kumar
Ganga Maange Khoon,Action,S.R. Pratap,Shagufta Ali,Laxmikant Berde,Ajinkya Deo
Ganga Maiya Tohri Mamta Mahan,Drama,Kamaal Narvi,,,
Ganga Maiyya,,Chandrakant,Prem Adib,Sumitra Devi,Bipin Gupta
Ganga Meri Maa,Drama,Shyam Ralhan,Vikas Anand,Birbal,Danny Denzongpa
Ganga Sagar,"Drama, Family, Fantasy",Ashish Kumar,Abhi Bhattacharya,Bela Bose,Trilok Kapoor
Ganga Tera Pani Amrit,Drama,Virendra Sinha,Navin Nischol,Yogeeta Bali,Nirupa Roy
Ganga Tere Desh Mein,Action,Vijay Reddy,Dharmendra,Jaya Prada,Shatrughan Sinha
Ganga Teri Shakti Apaar,Documentary,Muzaffar Ali,,,
Gangaa Jamunaa Saraswathi,"Action, Drama, Romance",Manmohan Desai,Amitabh Bachchan,Mithun Chakraborty,Jaya Prada
Gangaajal,"Action, Crime, Drama",Prakash Jha,Ajay Devgn,Gracy Singh,Mohan Joshi
Gangavataran,,Madhukar Bavdekar,Dhundiraj Govind Phalke,Chitnis,Suresh Pardesi
Ganglords of 1985,Action,Rocky Khanna,Monica Dogra,Vivaan Shah,
Gangobai,Action,Jitendra Chawda,Prithvi,Satnam Kaur,Durgesh Nandni
Gangoobai,"Drama, Family",Priya Krishnaswamy,Sarita Joshi,Purab Kohli,Mita Vashisht
Gangotri,"Action, Crime, Drama",Abhishek Chhadha,Amitabh Bachchan,Bhoomika Chawla,Manoj Tiwari
Gangs of Bihar,Crime,Kumar Neeraj,Rajesh Sharma,Kumud Mishra,Mukesh Tiwari
Gangs of Gamebaaz,Comedy,Yogesh Shahu,Razak Khan,Mushtaq Khan,Shehzad Khan
Gangs of Malgudi,Comedy,Guru Savan,Sanjay Mishra,Rohit Gupta,
Gangs of North East,Thriller,Rupak Gogoi,Vivek Bora,Rewati Chetri,Fairy Priya Ahmed
Gangs of Wasseypur,"Action, Comedy, Crime",Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui
Gangster,"Action, Drama, Thriller",Dev Anand,Mamta Kulkarni,Manu Gargi,Anita Ayoob
Gangster,"Action, Crime, Drama",Anurag Basu,Kangana Ranaut,Shiney Ahuja,Emraan Hashmi
Gangu,"Crime, Drama",Pramod Chakravorty,Sheikh Mukhtar,Chandrashekhar,Sulochana Latkar
Gangubai Kathiawadi,"Biography, Crime, Drama",Sanjay Leela Bhansali,Alia Bhatt,Ajay Devgn,Indira Tiwari
Gangvaa,"Action, Drama",Rajasekhar,Rajinikanth,Shabana Azmi,Sarika
Gangwar,Action,Kodi Ramakrishna,Giri Babu,Brahmanandam,Ashok Kumar K.
Ganit,Drama,Prem Soni,,,
Ganwaar,"Drama, Family, Musical",Naresh Kumar,Vyjayanthimala,Rajendra Kumar,Nishi
Gaon,,Dwarka Khosla,Tiwari,,
Gaon,Drama,Gautam Singh,Shadab Kamal,Neha Mahajan,Dibyendu Bhattacharya
Gaon Hamara Shaher Tumhara,"Drama, Family, Romance",Naresh Kumar,Rajendra Kumar,Rekha,Sujit Kumar
Gaon Ki Gori,Drama,K. Amarnath,Noor Jehan,Durga Khote,Nazir
Gaon Ki Kahani,Documentary,Harisadhan Dasgupta,,,
Garajna,Action,K.R. Reddy,Annu Kapoor,Rishi Kapoor,Vinod Khanna
Garam,Drama,Kanti Shah,Sapna Sappu,Imran,Tanveer
Garam Chumban,Thriller,Sajith Bahaskar,Heera,,
Garam Coat,Drama,Amar Kumar,Nirupa Roy,Jayant,Rashid Khan
Garam Dukaan,Thriller,Chandni Gupta,Afsan,Shah Gayaz Khan,
Garam Hoth,Thriller,Bhavani,Arun Mathur,Anil Nagrath,Rohit Raj
Garam Jawani,Thriller,Dinesh Salgia,Anuradha,Chitra,Jayamalini
Garam Khoon,Action,A. Salaam,Vinod Khanna,Sulakshana Pandit,Ajit
Garam Masala,"Comedy, Musical, Action",Aspi Irani,Aruna Irani,Mehmood,Jeevan
Garam Masala,Comedy,Priyadarshan,Akshay Kumar,John Abraham,Paresh Rawal
Garam Padosan,Drama,Kanti Shah,Arun Verma,Imran,Priti
Garam Raatien,Thriller,,,,
Garbage,"Drama, Thriller",Qaushiq Mukherjee,Tanmay Dhanania,Trimala Adhikari,Satarupa Das
Garbh Gyan,Drama,,,,
Gardish,"Action, Crime, Drama",Priyadarshan,Jackie Shroff,Amrish Puri,Dimple Kapadia
Garib,,Ramchandra Thakur,Surendra,Rose,Veena
Garib Ka Lal,,Kamlabai Gokhale,,,
Garib Ki Duniya,Drama,Keravala,Laxmi,,
Garib Pariwar,,Mohan Dayaram Bhavnani,Bibbo,,
Garibi,Musical,Geeta Bali,Usha Kiran,Nirupa Roy,
Garibon Ka Daata,Action,Ramesh Ahuja,Bhanupriya,Mithun Chakraborty,Uday Chandra
Garibon Ka Daata,Thriller,Kishan Shah,Satnam Kaur,Anil Nagrath,Amit Pachori
Garjjanam,"Action, Crime, Drama",V.V. Ramana,Tottempudi Gopichand,Bhavana,Ashish Vidyarthi
Garm Hava,Drama,M.S. Sathyu,Balraj Sahni,A.K. Hangal,Gita Siddharth
Garma Garam,"Adventure, Comedy",P.L. Santoshi,Agha,Nadira,Om Prakash
Garma Garam,"Drama, Thriller",S.K. Prasad,Suchi Kumar,Rahul Manchanda,Trishna Pritam
Gateway of India,"Comedy, Crime, Drama",J. Om Prakash,Bharat Bhushan,Pradeep Kumar,Madhubala
Gattu,Drama,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das
Gauhar,Family,Bina Rai,Rehman,,
Gauna,Drama,Amiya Chakrabarty,Usha Kiran,Wasti,Anoop Kumar
Gauraiya,Crime,Rajesh Hans,Karamaveer Chaudhary,Karamveer Choudhary,Vijay Jora
Gaurav Gupta: Market Down Hai,Comedy,Neville Shah,Gaurav Gupta,,
Gauri,,Kidar Nath Sharma,Monica Desai,Prithviraj Kapoor,Raj Kapoor
Gauri,"Drama, Family",A. Bhimsingh,Sunil Dutt,Nutan,Sanjeev Kumar
Gauri Puja,Fantasy,Vinod Desai,Abhi Bhattacharya,Yashodra Katju,Lalita Pawar
Gauri Shankar,,Raja Nene,Jeevan,Trilok Kapoor,Sulochana Latkar
Gauri: The Unborn,"Drama, Horror, Thriller",Aku Akbar,Mohan Azaad,Anupam Kher,Atul Kulkarni
Gauru: Journey of Courage,Family,Ramkishan Choyal,Jahangir Khan,Vedshree Rao,Ila Arun
Gautam Govinda,"Action, Crime, Drama",Subhash Ghai,Shashi Kapoor,Shatrughan Sinha,Moushumi Chatterjee
Gautam Govinda,Action,Gautam Verma,Ishrat Ali,Mithun Chakraborty,Pinky Chinoy
Gautama the Buddha,Documentary,Bimal Roy,,,
Gawaah,Thriller,A. Salaam,Ajit,Hiralal,Kamal Kapoor
Gawaahi,Mystery,Anant Balani,Zeenat Aman,Vikram Gokhale,Ashutosh Gowariker
Gawaiya,"Drama, Family, Musical",H.P. Sharma,Surendra,Sulochana Latkar,Jeevan
Gayab,"Drama, Fantasy, Thriller",Prawaal Raman,Tusshar Kapoor,Antara Mali,Raghuvir Yadav
Gayatri Mahima,Fantasy,Harsukh Jagneshwar Bhatt,Bharat Bhushan,Jayshree Gadkar,Ashish Kumar
Gazi Diler,,Navinchandra,,,
Geet,"Drama, Family",S.U. Sunny,Shahu Modak,Nirmala Devi,Amir Ali
Geet,"Action, Crime, Musical",Ramanand Sagar,Rajendra Kumar,Mala Sinha,Nasir Hussain
Geet,Drama,Partho Ghosh,Avinash Wadhawan,Divya Bharti,Laxmikant Berde
Geet Aur Aansoo,Romance,,,,
Geet Gaata Chal,"Comedy, Drama, Family",Hiren Nag,Sachin Pilgaonkar,Sarika,Urmila Bhatt
Geet Gaaya Pattharon Ne,"Drama, Musical, Romance",Shantaram Rajaram Vankudre,Jeetendra,Rajshree,Bharathi
Geet Ganga,Drama,B.S. Thapa,Bindu,Arun Govil,Jeevan
Geet Govind,,David Abraham,,,
Geet Mere Pyar Ka,Romance,Jyothi,Asha Sharma,Hari Shukla,Anjan Srivastav
Geet Milan Ke Gaate Rehenge,Romance,Qamar Haji Puri,Narendra Bedi,Mohan Choti,Dilip Dhawan
Geeta,,Parshwanath Yeshwant Altekar,Chandra Mohan,Durga Khote,Anant Marathe
Geeta Bani Geet,Drama,,,,
Geeta Ki Saugandh,Action,Reetu Raaj,Rajni Bala,Hemant Birje,Jamuna
Geeta Mera Naam,Action,R. Mittal,Rajesh Mittal,Ramesh Goyal,Goga Kapoor
Geetaa Mera Naam,"Action, Drama, Thriller",Sadhana,Sunil Dutt,Sadhana,Feroz Khan
Geetanjali,Drama,Shakti Samanta,Jeetendra,Rekha,Vijay Arora
Geheraye,Drama,,,,
Gehra Daag,"Crime, Drama, Romance",O.P. Ralhan,Rajendra Kumar,Mala Sinha,Madan Puri
Gehra Raaz,Horror,Ramesh Bedi,Salma Agha,Harbans Darshan M. Arora,Raj Babbar
Gehra Raaz,"Action, Mystery, Sci-Fi",Niranjan,Sheikh Mukhtar,Sujit Kumar,Sofia
Gehra Zakhm,"Drama, Family",Deepak Bahry,Vinod Mehra,Ranjeeta Kaur,Amjad Khan
Gehrayee,"Drama, Horror",Vikas Desai,Aruna Raje,Shreeram Lagoo,Anant Nag
Gehri Chaal,"Action, Crime, Thriller",C.V. Sridhar,Jeetendra,Hema Malini,Amitabh Bachchan
Gehri Chaal: The Final Move,Thriller,,,,
"Gehu, Ganna aur Gun",,Sherlyn Chopra,,,
Gemeni,Action,Venkatesh Daggubati,Kalabhavan Mani,Namitha,
Gemini,"Action, Comedy, Crime",Saran,Vikram,Kiran Rathod,Kalabhavan Mani
Genesis,Drama,Mrinal Sen,Shabana Azmi,Naseeruddin Shah,Om Puri
Genius,"Action, Thriller",Anil Sharma,Utkarsh Sharma,Ishita Chauhan,Mithun Chakraborty
Gentleman,"Comedy, Crime, Musical",Vinod K. Verma,Govinda,Anuradha Patel,Shakti Kapoor
Gentleman Daku,,Ram Daryani,Leela Chitnis,,
Gentleman Daku,Action,A. Shamsheer,Kamran,Shyam Kumar,Naazi
Geraftaar,"Action, Drama",Prayag Raj,Kamal Haasan,Poonam Dhillon,Madhavi
Get to the Sun,"Animation, Action, Adventure",Prashast Singh,Prashast Singh,,
Ghaath,"Crime, Drama, Thriller",Akashdeep,Manoj Bajpayee,Tabu,Om Puri
Ghaav: The Wound,"Action, Crime, Drama",Kumar Jay,Pankaj Berry,Rahul Bhatt,Seema Biswas
Ghabrahat,Horror,Kumar Bhatia,Dan Dhanoa,Satyendra Kapoor,Kiran Kumar
Ghajini,"Action, Drama, Mystery",A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan
Ghajini Returns,Action,Vishwa Naidu,,,
Ghajni,Drama,Master Vinayak,,,
Ghamand,,Dharam Kumar,Raaj Kumar,Kamal Mehra,Murad
Ghamandee,Drama,Ramesh Bedi,Mithun Chakraborty,Chandrashekhar,Leena Das
Ghamasaan,Action,Dinesh Chaudhary,Rajender Kashyap,Uttar Kumar,Taanya
Ghanchakkar,"Comedy, Crime, Thriller",Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Rajesh Sharma
Ghanta Chori Ho Gaya,Comedy,Nirbhay Chaudhary,Nimai Bali,Shahbaaz Khan,Raghvendra Tiwari
Ghanta the mystery bell,Comedy,Dinesh Kunder,Naveen Chaturvedi,Nikita Chhabariya,Amanpreet Satija
Ghar,"Drama, Romance",Manik Chatterjee,Gulzar,Vinod Mehra,Rekha
Ghar,,V.M. Vyas,Iftekhar,Nawab,
Ghar Aakir Ghar Hai,,Pawan Kuman,Sudhir Dalvi,Javed Khan,Neelam Mehra
Ghar Aaya Mera Pardesi,"Drama, Adventure, Action",Ravindra Peepat,Avinash Wadhawan,Varsha Usgaonkar,Bhagyashree
Ghar Basake Dekho,"Comedy, Drama",Kishore Sahu,Manoj Kumar,Sudesh Kumar,Randhir
Ghar Bazar,"Action, Crime, Drama",D.S. Azad,Shekhar Suman,Natasha Shailendra,Sharmila Tagore
Ghar Damad,Comedy,Lv Siva,Gullu Dada,Farukh Khan,Peerti Nigam
Ghar Dwaar,Drama,Kalpataru,Tanuja,Sachin Pilgaonkar,Raj Kiran
Ghar Ek Mandir,Drama,K. Bapaiah,Shashi Kapoor,Moushumi Chatterjee,Mithun Chakraborty
Ghar Ek Mandir,Drama,Chandrakant Sangani,,,
Ghar Ghar Ki Baat,"Drama, Family",Ravindra Dave,Azra,Minoo Mumtaz,Suresh
Ghar Ghar Ki Kahani,"Comedy, Drama",Kalpataru,Govinda,Farha Naaz,Rishi Kapoor
Ghar Ghar Ki Kahani,"Drama, Family",T. Prakash Rao,Balraj Sahni,Nirupa Roy,Bharathi
Ghar Ghar Ki Kahani,"Drama, Family",Leela Chitnis,S.B. Nayampalli,,
Ghar Ghar Mein Diwali,"Crime, Drama, Mystery",Gajanan Jagirdar,Gajanan Jagirdar,Shyama,Sajjan
Ghar Grihasti,"Drama, Family",Gunjal,Balraj Sahni,Shanta Hublikar,Randhir
Ghar Grihasti,"Drama, Family",Mahesh Tillekar,Aishwarya Narkar,Sulabha Arya,Sajid Sheikh
Ghar Ho To Aisa,Drama,Kalpataru,Anil Kapoor,Meenakshi Sheshadri,Raj Kiran
Ghar Jamai,"Comedy, Family",Arun Bhatt,Rita Bhaduri,Birbal,Mithun Chakraborty
Ghar Jamai,,Homi Master,Heera,Noor Jehan,Amoo
Ghar Ka Chiraag,Drama,Sikander Bharti,Rajesh Khanna,Neelam Kothari,Chunky Panday
Ghar Ka Chirag,Drama,Jagdev Bhambri,Abhi Bhattacharya,Biswajit Chatterjee,Dharmendra
Ghar Ka Kanoon,Drama,Anamika,Rakesh Bedi,Suraj Chaddha,A.K. Hangal
Ghar ka Raakshas by Deep Jyoti,Comedy,Ranjan Mistry,Deep Jyoti,,
Ghar Ka Sukh,"Drama, Family",Kalpataru,Shoma Anand,Bharat Bhushan,Sudhir Dalvi
Ghar Ki Bahu,,G.K. Devare,N.G. Devare,,
Ghar Ki Izzat,"Drama, Family",Ram Daryani,Mumtaz Shanti,Jeevan,Gope
Ghar Ki Izzat,"Comedy, Drama",Kalpataru,Jeetendra,Rishi Kapoor,Anita Raj
Ghar Ki Laaj,Drama,B.R. Ishara,Sanjeev Kumar,Moushumi Chatterjee,Kishore Jariwala
Ghar Ki Laaj,,Kalpataru,,,
Ghar Ki Laaj,,Jagdish Sethi,,,
Ghar Ki Laaj,"Drama, Family",V.M. Vyas,Sohrab Modi,Feroz Khan,Nirupa Roy
Ghar Ki Lakshmi,,Kanjibhai Rathod,Ghaznavi,Rampiary,
Ghar Ki Laxmi,,Kalpana Divan,Anand Raj,Rajshri,Kirti Rawal
Ghar Ki Rani,,Master Vinayak,Master Vinayak,Meenaxi,Baburao Pendharkar
Ghar Ki Shobha,,Harshadrai Sakerlal Mehta,Ramesh Saigal,,
Ghar Mein Ho Sali To Pura Saal Diwali,Comedy,Sanjeevani Gupta,Anil Nagrath,Amit Pachori,Aman Sagar
Ghar Mein Raam Gali Mein Shyam,Comedy,Venkatesh Daggubati,Soundarya,Vineetha,
Ghar Mein Ram Gali Mein Shyam,"Drama, Family, Action",Subhash Sonik,Beena Banerjee,Rita Bhaduri,Govinda
Ghar Pardes,"Drama, Musical",Vimal Reddy,Duong Do,Pritash Dutt,Anila Kumar
Ghar Parivaar,Drama,Mohanji Prasad,Rajesh Khanna,Rishi Kapoor,Raj Kiran
Ghar Pe Bataao,Drama,Neshu Saluja,Saurabh Goyal,Priyanka Sonawane Hedau,
Ghar Sansar,"Comedy, Drama",K. Bapaiah,Jeetendra,Sridevi,Kader Khan
Ghar Sansar,,V.M. Vyas,Sardar Akhtar,Jehanara Kajjan,Zahoor Shah
Ghar Sansar,"Drama, Family",V.M. Vyas,Balraj Sahni,Nargis,Rajendra Kumar
Gharaksharangal,Drama,Salim Padiyath,,,
Gharana,"Comedy, Drama, Family",S.S. Vasan,Rajendra Kumar,Raaj Kumar,Bipin Gupta
Gharana,Drama,K. Ravi Shankar,Shreeram Lagoo,Tanuja,Rishi Kapoor
Gharaonda,"Drama, Romance",Bhimsain,Amol Palekar,Zarina Wahab,Sadhu Meher
Gharbaar,,Dinkar D. Patil,,,
Gharibi Hatao,Drama,Anita Guha,Padma Khanna,Murad,Narendra Nath
Gharwali Baharwali,Comedy,David Dhawan,Anil Kapoor,Raveena Tandon,Rambha
Gharwali Baharwali,Family,Sripathi Panditharadhyula Rajaram,Farooq Shaikh,Anuradha Patel,Kim
Ghashiram Kotwal,"Biography, History",K. Hariharan,Mani Kaul,Saeed Akhtar Mirza,Kamal Swaroop
Ghat Ghat Ka Paani,Documentary,Akash Shukla,,,
Ghat: The Hill Station,Horror,Wilson Louis,Zachary Coffin,Nilesh Divekar,Elena
Ghatak: Lethal,"Action, Drama",Rajkumar Santoshi,Sunny Deol,Meenakshi Sheshadri,Danny Denzongpa
Ghatna,Thriller,Mahesh Shandilya,Danny Denzongpa,Jankidas,Anjali Kadam
Ghatothkach,"Animation, Family",Singeetam Srinivasa Rao,Sunidhi Chauhan,Shreya Ghoshal,Mahalakshmi Iyer
Ghatotkachudu,"Comedy, Drama, Fantasy",S.V. Krishna Reddy,Ranga Rao Kurra,Satyanarayana Kaikala,Roja
