movie_title,genres,director_name,actor_1,actor_2,actor_3
23rd March 1931: Shaheed,"Biography, Drama, History",Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
24 Ghante,Thriller,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
25th July,,Chitra Mitra,,,
26-Jan,,Ramesh Saigal,Ajit,,
26th January,Drama,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
26th July at Barista,Drama,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
27 Down,Drama,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,"Horror, Romance",Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Bachelors,"Comedy, Romance",Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 Days 4 Nights in Bihar,Comedy,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
3 Deewarein,"Crime, Drama",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 Dev,Comedy,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,"Comedy, Drama",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Nights 4 Days,"Drama, Romance",Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Shyaane,Comedy,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
3 Storeys,Drama,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,"Adventure, Drama",Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,Horror,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,Thriller,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,"Action, Drama, History",Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,Thriller,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 China Town,"Comedy, Mystery, Thriller",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,"Drama, Romance",Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,"Action, Crime, Drama",Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,"Crime, Thriller",Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,Drama,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,Horror,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,"Horror, Sci-Fi, Thriller",Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,Horror,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
3rd November,Horror,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
4 Sum,"Crime, Drama, Thriller",Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
404: Error Not Found,"Drama, Mystery, Thriller",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,Drama,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,"Drama, Sport",Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,"Drama, Family, Musical",Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
4pm on the Court,Sport,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
5 Ghantey Mien 5 Crore,Thriller,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,"Action, Comedy",I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
5 Rifles,Action,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
5 Rupees,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,
50 Lakh,"Comedy, Thriller",Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
500 Ka Note,Thriller,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
5ters: Castle of Dark Master,"Action, Adventure, Fantasy",G. Venugopal,Akash,Avinash,Gagan
6.40 PM,,Mani Kaul,,,
6387 Meters Black Peak,Documentary,Kovid Mittal,Kovid Mittal,,
64 Kaam Kalayen,Thriller,Hemant Birje,Ankush Mohite,Kirti Rawal,
6-5=2,Horror,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,Drama,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
69 Opposites Attract,Comedy,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,
69 Reality in Us,"Drama, Romance, Thriller",Samir Khan,,,
7 1/2 Phere: More Than a Wedding,"Comedy, Drama",Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,Action,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Days,"Action, Drama",Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
7 Hours to Go,"Crime, Thriller",Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,Documentary,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Khoon Maaf,"Drama, Mystery, Thriller",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,"Drama, Horror, Musical",S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,Thriller,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,"Action, Biography, Drama",Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
777 Charlie,"Adventure, Comedy, Drama",Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
7th Villa,Horror,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
8 PM: A Murder Mystery,Mystery,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
8 x 10 Tasveer,"Action, Fantasy, Mystery",Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,"Adventure, Drama, Mystery",Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
'83,"Biography, Drama, History",Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
88 Antop Hill,"Mystery, Thriller",Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,Action,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
9 Roads 2 Peace,Adventure,Virendra Rathore,,,
9 to 12,"Drama, Musical, Thriller",Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
99,"Comedy, Crime, Drama",Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 Songs,"Musical, Romance",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 FM,"Crime, Drama",Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Ballad of Maladies,"Documentary, Music",Sarvnik Kaur,Tushar Madhav,,
A Ballad of Maladies,"Documentary, History, Music",Sarvnik Kaur,Tushar Madhav,,
A Billion Colour Story,Drama,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Biopic from the Film Industry,Drama,Sarkar Sahith,Suman Rana,Hari Vishnu,
A Call from the Past,"Drama, Fantasy, Mystery",Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
A Cold Plan,Thriller,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
A Daughter's Dream,"Drama, Family, Sport",Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
A Daughter's Tale PANKH,Drama,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,"Drama, Thriller",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Dream Document,Documentary,Rupak Das,,,
A Far Afternoon: a Painted Saga by Krishen Khanna,"Documentary, Biography",Sruti Harihara Subramanian,,,
A Film by Aravind,"Horror, Mystery",Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,"Drama, Horror, Romance",Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Flying Jatt,"Action, Adventure, Comedy",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,"Comedy, Romance",Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gentleman,"Action, Comedy",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,"Drama, Romance",Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Handful of Grain,Drama,Mehboob Khan,,,
A Journey of Samyak Buddha,Drama,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,Documentary,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,
A Mistake (Ek Galti),Thriller,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
A New Love Ishtory,Romance,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Night in Calcutta,Drama,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
A Rape Song,"Crime, Drama",Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,
A Rifle and a Bag,Documentary,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
A Scandall,Thriller,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Separate Sky,Drama,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
A Sketch Killer: Who's Next,Thriller,Vinod Alva,Kalyan Kumar,Raghuvaran,
A Small Family,Documentary,Fali Bilimoria,,,
A Song for No One,"Comedy, Drama, Music",Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,
A Story of a Call Girl,Thriller,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
A Strange Love Story,Drama,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,"Drama, Romance",Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,Documentary,Sarita Khurana,Smriti Mundhra,Sima Taparia,
A Thin Line,Drama,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Thursday,"Drama, Thriller",Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
A Treasure in the Snow,Documentary,Goutam Ghose,,,
